PNAME,TITLE,DEVIN,SCOST,DCOST,SOLD
HAMID,WaveTrack,Java,10000,3105000,200
KARAN,"SkyLine Pro",C++,15000,270000,3000
FARAH,InstaFlow,Oracle,20000,180000,4500
SCINDIA,ZenGrid,Python,25000,212000,5040
JOY,OptiManage,VB,30000,115000,3700
CHANDER,PixelCraft,C,8000,204000,5160
ANIL,CodePulse,Java,13000,206000,2500
TOMAR,DataSpring,C++,20000,1000000,3500
MILIND,BrightMind,Pascal,22000,311000,307
SAXENA,AeroLink,Oracle,28000,114000,3055
Rita,FastBrowse,C,30000,8122000,210
Rakesh,CandyBurst,C++,50000,195000,15000
HAMID,ZenGrid,Python,25000,212000,5040
MILIND,CodePulse,Java,13000,206000,2500
KARAN,PixelCraft,C,8000,204000,5160
FARAH,AeroLink,Oracle,28000,114000,3055
SCINDIA,CandyBurst,C++,50000,195000,15000
JOY,BrightMind,Pascal,22000,311000,307
ANIL,ZenGrid,Python,25000,212000,5040
ANIL,WaveTrack,Java,10000,3105000,200
TOMAR,"SkyLine Pro",C++,15000,270000,3000
TOMAR,OptiManage,VB,30000,115000,3700
SAXENA,InstaFlow,Oracle,20000,180000,4500
Rita,InstaFlow,Oracle,20000,180000,4500
Rakesh,DataSpring,C++,20000,1000000,3500
Rakesh,"SkyLine Pro",C++,15000,270000,3000
Rakesh,AeroLink,Oracle,28000,114000,3055
